date,ticker,market,foreign_net_shares,institution_net_shares,individual_net_shares,foreign_holding_ratio_pct,close_krw,volume_shares,source,source_url
2025-02-11,000660,KRX,44776,-22898,-75198,55.81,199700,2488710,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-12,000660,KRX,279295,-60888,-200709,55.85,198900,2884072,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-13,000660,KRX,204922,874515,-1061995,55.88,208500,3574410,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-14,000660,KRX,643588,-86090,-546333,55.97,210000,2598656,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-17,000660,KRX,274834,-45112,-236294,56.01,212000,2497922,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-18,000660,KRX,-136958,92001,53979,55.98,210000,1937894,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-19,000660,KRX,790992,307676,-1100989,56.08,218500,3537720,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-20,000660,KRX,-188577,52894,118557,56.02,212000,3080242,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-21,000660,KRX,-199393,111487,88016,55.99,209500,2601151,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-24,000660,KRX,-207539,-133939,351723,55.95,205000,3087127,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-25,000660,KRX,-472244,-16013,556874,55.84,200500,3651613,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-26,000660,KRX,323581,-306619,-64344,55.88,203000,3849749,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-27,000660,KRX,-679595,-115213,794256,55.56,199200,3993419,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-28,000660,KRX,-1249315,-101909,1272917,55.38,190200,5533027,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-04,000660,KRX,-948069,147666,751829,55.28,186100,5424556,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-05,000660,KRX,243684,70377,-242654,55.31,193100,4162368,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-06,000660,KRX,198976,-158635,-34079,55.34,192400,2540131,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-07,000660,KRX,217049,-256629,29617,55.4,192400,2700590,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-10,000660,KRX,-770733,52736,686511,55.29,187900,2441476,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-11,000660,KRX,-209832,26690,141897,55.26,187800,3521800,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-12,000660,KRX,736357,548170,-1291142,55.4,198900,4064278,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-13,000660,KRX,-714876,1046269,-326773,55.32,199700,3883033,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-14,000660,KRX,871561,286681,-1138446,55.47,204500,3397462,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-17,000660,KRX,-58380,421970,-350963,55.47,206000,2584679,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-18,000660,KRX,-89215,181450,-41868,55.45,203000,2696191,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-19,000660,KRX,113503,60599,-176633,55.48,205500,3102000,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-20,000660,KRX,645001,197431,-836661,55.59,210000,2779557,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-21,000660,KRX,1294123,-276739,-1007324,55.78,215500,5731880,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-24,000660,KRX,-56079,-34263,88156,55.74,211500,1611040,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-25,000660,KRX,-253604,186842,66694,55.72,208000,2262656,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-26,000660,KRX,449600,-23882,-425803,55.77,214000,2058540,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-27,000660,KRX,-77517,-182361,261689,55.71,207000,2287220,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-28,000660,KRX,-713734,16979,683524,55.53,199300,2673553,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-03-31,000660,KRX,-1759080,869475,871776,55.35,190700,4561715,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-01,000660,KRX,88403,-25592,-62870,55.38,197000,2317253,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-02,000660,KRX,-625098,782594,-154266,55.36,197900,2764223,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-03,000660,KRX,-1735255,926137,795510,55.14,194600,4177747,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-04,000660,KRX,-5064177,1508952,3541056,54.45,182200,9182017,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-07,000660,KRX,-2315622,-443563,2707586,54.18,164800,7879050,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-08,000660,KRX,-24393,-141905,129064,54.17,169500,4965171,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-09,000660,KRX,-1699546,270192,1364721,53.94,165000,8035679,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-10,000660,KRX,174098,347150,-493139,53.96,183200,7836984,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-11,000660,KRX,-866060,130155,724617,53.8,180800,3223735,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-14,000660,KRX,-587439,-58393,635784,53.71,180200,3466194,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-15,000660,KRX,103379,186227,-292392,53.73,180600,1915455,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-16,000660,KRX,-295748,-476004,759996,53.64,174000,2933428,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-17,000660,KRX,-939948,90551,823820,53.51,175000,2989493,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-18,000660,KRX,-213206,47908,156350,53.46,175000,1305152,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-21,000660,KRX,25557,-40235,13815,53.43,176600,1877473,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-22,000660,KRX,-503926,-119407,621425,53.37,173800,2008388,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-23,000660,KRX,-306470,940283,-629656,53.32,181000,3857373,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-24,000660,KRX,-347337,-402030,739563,53.23,178300,3162156,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-25,000660,KRX,923049,547751,-1460554,53.34,184400,3507810,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-28,000660,KRX,188502,-145076,-68217,53.32,182000,2455710,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-29,000660,KRX,-203434,141725,56964,53.29,180800,1866386,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-04-30,000660,KRX,-431555,-243236,675396,53.22,177500,2354473,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-02,000660,KRX,2023987,212250,-2175503,53.47,186000,3886874,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-07,000660,KRX,1092569,85412,-1156505,53.61,190800,3830097,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-08,000660,KRX,13309,436000,-448208,53.75,190300,5125330,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-09,000660,KRX,-26733,-14076,39814,53.78,190100,2539822,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-12,000660,KRX,317722,173780,-485448,53.93,195000,1624884,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-13,000660,KRX,956052,-61458,-875680,54.1,198500,3385009,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-14,000660,KRX,1295660,44787,-1323604,54.29,206000,3333511,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-15,000660,KRX,365980,-347118,-46962,54.34,200500,3178957,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-16,000660,KRX,552294,90956,-612185,54.45,204500,2419507,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-19,000660,KRX,64618,-197850,148837,54.45,199400,2482673,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-20,000660,KRX,355052,-60597,-284124,54.5,202000,2820546,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-05-21,000660,KRX,-111674,-68456,187977,54.47,200500,1721760,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
