date,open,high,low,close,volume
2024-07-17,106.91,106.91,104.5201,104.91,2825160.0
2024-07-18,105.77,105.77,102.48,103.47,2237435.0
2024-07-19,103.96,104.265,102.47,102.63,1977177.0
2024-07-22,104.14,106.25,103.4,106.18,2310911.0
2024-07-23,105.17,106.59,104.5,105.3,3793771.0
2024-07-24,109.0,113.57,107.16,109.53,9398137.0
2024-07-25,108.81,109.065,103.64,103.96,4194820.0
2024-07-26,105.01,105.75,102.88,103.68,3069192.0
2024-07-29,104.08,104.2999,101.36,103.38,2977530.0
2024-07-30,103.5,103.7,98.64,99.1,3058358.0
2024-07-31,102.35,102.78,100.21,102.17,2670407.0
2024-08-01,102.03,104.185,98.11,99.01,3436958.0
2024-08-02,95.5,96.155,93.45,94.57,4204813.0
2024-08-05,90.59,93.9,90.0,92.54,3365729.0
2024-08-06,93.39,95.88,93.1074,93.68,3208581.0
2024-08-07,94.67,95.32,92.04,92.1,3288439.0
2024-08-08,92.3,95.62,91.2,95.45,2332422.0
2024-08-09,95.21,96.99,94.28,96.28,1483533.0
2024-08-12,96.01,97.09,95.1,95.83,1284349.0
2024-08-13,97.19,98.23,96.71,98.2,1637440.0
2024-08-14,98.82,98.9942,96.69,97.06,2175908.0
2024-08-15,98.86,100.16,98.22,99.61,2196887.0
2024-08-16,100.2,102.57,99.36,101.73,2494376.0
2024-08-19,101.56,103.99,100.75,103.96,2934389.0
2024-08-20,103.83,105.02,102.825,103.55,1703299.0
2024-08-21,104.2,104.9,103.43,104.44,1150110.0
2024-08-22,104.82,105.21,102.91,103.23,989115.0
2024-08-23,104.34,104.67,103.48,104.41,949218.0
2024-08-26,103.75,105.23,102.95,104.76,1404692.0
2024-08-27,102.96,102.98,100.525,100.71,2423218.0
2024-08-28,100.0,100.02,97.435,99.25,2058066.0
2024-08-29,99.06,100.34,97.16,97.54,2042750.0
2024-08-30,98.82,99.59,97.93,99.55,1975717.0
2024-09-03,99.55,99.55,96.26,96.78,1670228.0
2024-09-04,96.1,101.04,94.7,100.73,3916902.0
2024-09-05,100.08,102.14,99.86,100.81,1736093.0
2024-09-06,100.3,100.712,97.33,97.98,2611921.0
2024-09-09,99.35,101.38,97.98,101.34,2318509.0
2024-09-10,101.27,102.75,99.94,102.26,1878657.0
2024-09-11,102.32,102.735,100.0601,102.53,2373461.0
2024-09-12,101.96,102.28,100.08,100.62,2002744.0
2024-09-13,100.84,102.773,100.0,102.13,1795048.0
2024-09-16,101.83,102.095,100.99,101.44,1593355.0
2024-09-17,102.32,102.53,101.09,102.07,1499340.0
2024-09-18,102.18,103.48,100.72,100.93,1833256.0
2024-09-19,103.49,104.465,102.59,104.12,1506978.0
2024-09-20,103.83,105.8,103.83,104.74,5499835.0
2024-09-23,105.11,106.75,104.9,105.88,1477321.0
2024-09-24,106.03,106.785,104.8375,106.63,1625880.0
2024-09-25,106.25,107.76,106.06,107.76,1695201.0
2024-09-26,110.01,110.93,107.8212,110.76,2660818.0
2024-09-27,110.68,110.715,108.15,108.74,1320014.0
