date,ticker,spot,atm_iv_pct,call25d_iv_pct,put25d_iv_pct,skew_pct,pc_ratio_vol,pc_ratio_oi
2026-07-29,MU,821.67,101.4,97.8,107.4,-9.59,0.867,1.241
2026-07-29,SKHY,128.59,132.1,127.5,134.5,-7.0,0.636,1.576
2026-07-29,SNDK,1096.1897,152.8,144.2,160.8,-16.66,1.017,1.255
2026-07-29,WDC,479.33,117.5,112.1,125.0,-12.93,1.623,1.507
